Título;Cd. SPALM2;;;
30 anos na Paraíba: memórias corográficas e outras memórias (vol. 87);03.15.01.0080-1;;;
A Abolição (vol. 39 ) - 9788570184078;03.15.01.0034-8;;;
A Abolição do Comércio Brasileiro de Escravos - BBB;03.15.01.0258-8;;;
A Amazônia e a Integridade do Brasil - Brasil 500 anos;03.15.01.0281-2;;;
A Amazônia na era pombalina – tomos I, II e III (vol. 49);03.15.01.0044-5;;;
A Base Física do Espírito - vol.53;03.15.01.0048-8;;;
A caminho do leste (vol. 221) - 9788570186959;03.15.01.0207-3;;;
A Campanha de Canudos - Vol.5;03.15.01.0005-4;;;
A Casa de Cunhaú (vol. 45);03.15.01.0040-2;;;
A Coluna Prestes no Piauí (vol. 90);03.15.01.0083-6;;;
A Constituição que não Foi;03.14.01.0010-8;;;
A Evolução do Sistema Eleitoral Brasileiro;03.15.01.0256-1;;;
A formação do capital e seu desenvolvimento (vol. 156) - 9788570183750;03.15.01.0149-2;;;
A gênese do texto da Constituição de 1988;03.14.01.0001-9;;;
A História da Revolução Russa (Vol. 240) - 9788570188144;03.15.01.0218-9;;;
A história dos símbolos nacionais (vol. 47);03.15.01.0042-9;;;
A Ilusão Americana - vol. 11;03.15.01.0227-8;;;
A intervenção estrangeira durante a Revolta de 1893 (vol. 21);03.15.01.0016-0;;;
A língua portuguesa no tempo e no espaço (vol. 242) - 9788570188366;03.15.01.0272-3;;;
A Noite das Garrafadas (vol. 173);03.15.01.0166-2;;;
A Paraíba e seus Problemas (vol. 172) - 9788570184153;03.15.01.0165-4;;;
A presença holandesa: a história da guerra do açúcar vista por Alagoas (vol. 197) - 9788570185150;03.15.01.0188-3;;;
A presença negra em Alagoas (vol. 214) - 9788570186447;03.15.01.0200-6;;;
A Presidência Campos Sales (Coleção Biblioteca Básica Brasileira);03.15.01.0263-4;;;
A Questão Geopolítica da Amazônia - Da Soberania Difusa à Soberania Restrita - Vol.64;03.15.01.0057-7;;;
;03.15.01.0260-0;;;
A renúncia de Jânio (vol. 234) - 9788570187796;03.15.01.0234-0;;;
A república na América do Sul (vol. 231) - 9788570187543;03.15.01.0232-4;;;
A retirada da Laguna (vol. 149) - 9788570183477;03.15.01.0142-5;;;
A Verdade Como Regra das Ações - vol.51;03.15.01.0046-1;;;
A viagem de Patroni pelas províncias brasileiras (vol. 176) - 9788570184832;03.15.01.0169-7;;;
A vida de Gonçalves Dias (vol. 226) - 9788570187420;03.15.01.0210-3;;;
A vida de Luiz Viana Filho (vol. 58);03.15.01.0051-8;;;
A vida do barão do Rio Branco (vol. 203) - 9788570185518;03.15.01.0194-8;;;
A Vida dos Doze Césares - vol.171;03.15.01.0164-6;;;
ABC das Alagoas, dicionário biobibliográfico, histórico e geográfico de Alagoas - Tomos I, II e III (vol. 215) - 9788570186669;03.15.01.0055-0;;;
Ação e Presença dos Portugueses na costa norte do Brasil no séc. XVII (vol. 206) - 9788570185396;03.15.01.0196-4;;;
Advento da ditadura militar no Brasil (vol. 243);03.15.01.0271-5;;;
Agenda Legislativa para o Desenvolvimento Nacional - 9788570183538;03.14.11.0062-4;;;
Alagoaa: a Herança Indígena - vol. 238;03.15.01.0250-2;;;
Aldeamento dos Acoroás (VII vol. – Coleção Centenário) - 9788564231146;;;;
Álbum Ilustrado do Estado de Alagoas;03.15.01.0286-3;;;
Amapá: A Terra Onde o Brasil Começa - Brasil 500 Anos;03.15.01.0245-6;;;
Amapá: a terra onde o Brasil começa (vol. 35);03.15.01.0030-5;;;
